Virtual User Script started at: 02.06.2024 15:50:23
Starting action vuser_init.
Web Turbo Replay of LoadRunner 2021.0.0 for Windows 10; build 430 (џэт 05 2021 19:27:22)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\XSETcourse\LoadRunner\HW_12\UC04_view_list_tickets\\default.cfg"  	[MsgId: MMSG-27141]
Ending action vuser_init.
Running Vuser...
Starting iteration 1.
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Action.
Action.c(4): Notify: Transaction "UC04_tickets_list" started.
Action.c(6): Notify: Transaction "home" started.
Action.c(8): web_add_auto_header("DNT") started  	[MsgId: MMSG-26355]
Action.c(8): web_add_auto_header("DNT") was successful  	[MsgId: MMSG-26392]
Action.c(11): web_add_auto_header("Sec-GPC") started  	[MsgId: MMSG-26355]
Action.c(11): web_add_auto_header("Sec-GPC") was successful  	[MsgId: MMSG-26392]
Action.c(14): web_add_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(14): web_add_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(17): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(17): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(20): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(20): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(23): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(23): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(26): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(26): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(29): web_add_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(29): web_add_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(32): web_url("WebTours") started  	[MsgId: MMSG-26355]
Action.c(32): web_url("WebTours") was successful, 366 body bytes, 299 header bytes  	[MsgId: MMSG-26386]
Action.c(41): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(41): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(44): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(44): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(47): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(47): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(50): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(50): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(52): web_url("header.html") started  	[MsgId: MMSG-26355]
Action.c(52): Registering web_url("header.html") was successful  	[MsgId: MMSG-26390]
Action.c(61): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(61): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(64): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(64): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(67): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(67): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(70): web_url("welcome.pl") started  	[MsgId: MMSG-26355]
Action.c(70): Registering web_url("welcome.pl") was successful  	[MsgId: MMSG-26390]
Action.c(79): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(79): web_concurrent_end was successful, 1396 body bytes, 626 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(81): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(81): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(84): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(84): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(87): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(87): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(90): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(90): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(92): web_url("webtours.png") started  	[MsgId: MMSG-26355]
Action.c(92): Registering web_url("webtours.png") was successful  	[MsgId: MMSG-26390]
Action.c(100): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(100): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(103): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(103): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(106): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(106): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(109): web_url("hp_logo.png") started  	[MsgId: MMSG-26355]
Action.c(109): Registering web_url("hp_logo.png") was successful  	[MsgId: MMSG-26390]
Action.c(117): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(117): web_concurrent_end was successful, 4788 body bytes, 598 header bytes  	[MsgId: MMSG-26386]
Action.c(119): web_set_sockets_option started  	[MsgId: MMSG-26355]
Action.c(119): web_set_sockets_option was successful  	[MsgId: MMSG-26392]
Action.c(121): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(121): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(124): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(124): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(127): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(127): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(130): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(130): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(132): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(132): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(136): web_url("home.html") started  	[MsgId: MMSG-26355]
Action.c(136): Registering web_url("home.html") was successful  	[MsgId: MMSG-26390]
Action.c(145): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(145): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(148): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(148): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(151): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(151): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(155): web_reg_save_param_attrib started  	[MsgId: MMSG-26355]
Action.c(155): Registering web_reg_save_param_attrib was successful  	[MsgId: MMSG-26390]
Action.c(165): web_url("nav.pl") started  	[MsgId: MMSG-26355]
Action.c(165): Registering web_url("nav.pl") was successful  	[MsgId: MMSG-26390]
Action.c(174): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(174): Registered web_reg_find successful for "Text=Welcome to the Web Tours site." (count=1)  	[MsgId: MMSG-26364]
Action.c(174): web_concurrent_end was successful, 2842 body bytes, 554 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(176): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(176): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(179): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(179): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(182): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(182): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(187): web_url("mer_login.gif") started  	[MsgId: MMSG-26355]
Action.c(187): web_url("mer_login.gif") was successful, 679 body bytes, 298 header bytes  	[MsgId: MMSG-26386]
Action.c(195): Notify: Transaction "home" ended with a "Pass" status (Duration: 0.8907 Wasted Time: 0.0821).
Action.c(197): web_remove_auto_header("DNT") started  	[MsgId: MMSG-26355]
Action.c(197): Previous automatically added web header for "DNT" removed  	[MsgId: MMSG-26587]
Action.c(197): web_remove/revert_auto_header("DNT") was successful  	[MsgId: MMSG-26392]
Action.c(199): web_remove_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(199): Previous automatically added web header for "Sec-Fetch-Mode" removed  	[MsgId: MMSG-26587]
Action.c(199): web_remove/revert_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(201): web_remove_auto_header("Sec-GPC") started  	[MsgId: MMSG-26355]
Action.c(201): Previous automatically added web header for "Sec-GPC" removed  	[MsgId: MMSG-26587]
Action.c(201): web_remove/revert_auto_header("Sec-GPC") was successful  	[MsgId: MMSG-26392]
Action.c(203): web_remove_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(203): Previous automatically added web header for "Upgrade-Insecure-Requests" removed  	[MsgId: MMSG-26587]
Action.c(203): web_remove/revert_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(205): web_add_auto_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(205): web_add_auto_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(210): web_custom_request("wr2") started  	[MsgId: MMSG-26355]
Action.c(210): web_custom_request("wr2") was successful, 5 body bytes, 226 header bytes  	[MsgId: MMSG-26386]
Action.c(222): web_websocket_send started  	[MsgId: MMSG-26355]
Action.c(222): Warning -35046: The WebSocket whose ID is "0" is not connected  	[MsgId: MWAR-35046]
Action.c(222): web_websocket_send highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(227): web_custom_request("wr2_2") started  	[MsgId: MMSG-26355]
Action.c(227): web_custom_request("wr2_2") was successful, 472 body bytes, 230 header bytes  	[MsgId: MMSG-26386]
Action.c(241): Notify: Transaction "login" started.
Action.c(243): web_add_auto_header("DNT") started  	[MsgId: MMSG-26355]
Action.c(243): web_add_auto_header("DNT") was successful  	[MsgId: MMSG-26392]
Action.c(246): web_add_auto_header("Sec-GPC") started  	[MsgId: MMSG-26355]
Action.c(246): web_add_auto_header("Sec-GPC") was successful  	[MsgId: MMSG-26392]
Action.c(249): web_add_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(249): web_add_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(252): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(252): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(255): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(255): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(258): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(258): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(261): web_add_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(261): web_add_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(264): web_add_auto_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(264): web_add_auto_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(269): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(269): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(272): web_submit_data("login.pl") started  	[MsgId: MMSG-26355]
Action.c(272): Registered web_reg_find successful for "Text=User password was correct" (count=1)  	[MsgId: MMSG-26364]
Action.c(272): web_submit_data("login.pl") was successful, 481 body bytes, 358 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(288): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(288): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(290): web_url("login.pl_2") started  	[MsgId: MMSG-26355]
Action.c(290): Registering web_url("login.pl_2") was successful  	[MsgId: MMSG-26390]
Action.c(299): web_url("nav.pl_2") started  	[MsgId: MMSG-26355]
Action.c(299): Registering web_url("nav.pl_2") was successful  	[MsgId: MMSG-26390]
Action.c(308): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(308): web_concurrent_end was successful, 2400 body bytes, 484 header bytes, 24 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(310): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(310): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(312): web_url("itinerary.gif") started  	[MsgId: MMSG-26355]
Action.c(312): Registering web_url("itinerary.gif") was successful  	[MsgId: MMSG-26390]
Action.c(320): web_url("in_home.gif") started  	[MsgId: MMSG-26355]
Action.c(320): Registering web_url("in_home.gif") was successful  	[MsgId: MMSG-26390]
Action.c(328): web_url("signoff.gif") started  	[MsgId: MMSG-26355]
Action.c(328): Registering web_url("signoff.gif") was successful  	[MsgId: MMSG-26390]
Action.c(336): web_url("flights.gif") started  	[MsgId: MMSG-26355]
Action.c(336): Registering web_url("flights.gif") was successful  	[MsgId: MMSG-26390]
Action.c(344): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(344): web_concurrent_end was successful, 2898 body bytes, 1194 header bytes  	[MsgId: MMSG-26386]
Action.c(346): Notify: Transaction "login" ended with a "Pass" status (Duration: 0.4347 Wasted Time: 0.0099).
Action.c(350): Notify: Transaction "tickets_list" started.
Action.c(352): web_url("Itinerary Button") started  	[MsgId: MMSG-26355]
