Virtual User Script started at: 02.06.2024 15:51:46
Starting action vuser_init.
Web Turbo Replay of LoadRunner 2021.0.0 for Windows 10; build 430 (џэт 05 2021 19:27:22)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\XSETcourse\LoadRunner\HW_12\UC06_user_registration\\default.cfg"  	[MsgId: MMSG-27141]
Ending action vuser_init.
Running Vuser...
Starting iteration 1.
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Action.
Action.c(4): Notify: Transaction "UC06_user_registration" started.
Action.c(6): Notify: Transaction "home" started.
Action.c(8): web_add_auto_header("DNT") started  	[MsgId: MMSG-26355]
Action.c(8): web_add_auto_header("DNT") was successful  	[MsgId: MMSG-26392]
Action.c(11): web_add_auto_header("Sec-GPC") started  	[MsgId: MMSG-26355]
Action.c(11): web_add_auto_header("Sec-GPC") was successful  	[MsgId: MMSG-26392]
Action.c(14): web_add_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(14): web_add_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(17): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(17): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(20): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(20): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(23): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(23): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(26): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(26): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(29): web_add_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(29): web_add_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(32): web_url("WebTours") started  	[MsgId: MMSG-26355]
Action.c(32): web_url("WebTours") was successful, 366 body bytes, 299 header bytes  	[MsgId: MMSG-26386]
Action.c(41): web_set_sockets_option started  	[MsgId: MMSG-26355]
Action.c(41): web_set_sockets_option was successful  	[MsgId: MMSG-26392]
Action.c(43): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(43): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(46): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(46): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(49): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(49): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(52): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(52): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(54): web_url("header.html") started  	[MsgId: MMSG-26355]
Action.c(54): Registering web_url("header.html") was successful  	[MsgId: MMSG-26390]
Action.c(63): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(63): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(66): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(66): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(69): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(69): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(72): web_url("welcome.pl") started  	[MsgId: MMSG-26355]
Action.c(72): Registering web_url("welcome.pl") was successful  	[MsgId: MMSG-26390]
Action.c(81): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(81): web_concurrent_end was successful, 1396 body bytes, 626 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(83): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(83): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(86): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(86): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(89): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(89): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(92): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(92): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(94): web_url("hp_logo.png") started  	[MsgId: MMSG-26355]
Action.c(94): Registering web_url("hp_logo.png") was successful  	[MsgId: MMSG-26390]
Action.c(102): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(102): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(105): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(105): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(108): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(108): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(111): web_url("webtours.png") started  	[MsgId: MMSG-26355]
Action.c(111): Registering web_url("webtours.png") was successful  	[MsgId: MMSG-26390]
Action.c(119): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(119): web_concurrent_end was successful, 4788 body bytes, 598 header bytes  	[MsgId: MMSG-26386]
Action.c(121): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(121): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(124): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(124): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(127): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(127): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(130): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(130): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(132): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(132): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(136): web_url("home.html") started  	[MsgId: MMSG-26355]
Action.c(136): Registering web_url("home.html") was successful  	[MsgId: MMSG-26390]
Action.c(145): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(145): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(148): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(148): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(151): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(151): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(154): web_url("nav.pl") started  	[MsgId: MMSG-26355]
Action.c(154): Registering web_url("nav.pl") was successful  	[MsgId: MMSG-26390]
Action.c(163): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(163): Registered web_reg_find successful for "Text=Welcome to the Web Tours site" (count=1)  	[MsgId: MMSG-26364]
Action.c(163): web_concurrent_end was successful, 2851 body bytes, 554 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(165): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(165): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(168): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(168): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(171): web_add_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(171): web_add_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(176): web_url("mer_login.gif") started  	[MsgId: MMSG-26355]
Action.c(176): web_url("mer_login.gif") was successful, 679 body bytes, 298 header bytes  	[MsgId: MMSG-26386]
Action.c(184): web_remove_auto_header("DNT") started  	[MsgId: MMSG-26355]
Action.c(184): Previous automatically added web header for "DNT" removed  	[MsgId: MMSG-26587]
Action.c(184): web_remove/revert_auto_header("DNT") was successful  	[MsgId: MMSG-26392]
Action.c(186): web_remove_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(186): Previous automatically added web header for "Sec-Fetch-Mode" removed  	[MsgId: MMSG-26587]
Action.c(186): web_remove/revert_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(188): web_remove_auto_header("Sec-GPC") started  	[MsgId: MMSG-26355]
Action.c(188): Previous automatically added web header for "Sec-GPC" removed  	[MsgId: MMSG-26587]
Action.c(188): web_remove/revert_auto_header("Sec-GPC") was successful  	[MsgId: MMSG-26392]
Action.c(190): web_remove_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(190): Previous automatically added web header for "Upgrade-Insecure-Requests" removed  	[MsgId: MMSG-26587]
Action.c(190): web_remove/revert_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(192): web_add_auto_header("Priority") started  	[MsgId: MMSG-26355]
Action.c(192): web_add_auto_header("Priority") was successful  	[MsgId: MMSG-26392]
Action.c(195): web_custom_request("wr2") started  	[MsgId: MMSG-26355]
Action.c(195): web_custom_request("wr2") was successful, 5 body bytes, 226 header bytes  	[MsgId: MMSG-26386]
Action.c(207): Notify: Transaction "home" ended with a "Pass" status (Duration: 1.0766 Wasted Time: 0.0833).
Action.c(209): Notify: Transaction "signupnow_page" started.
Action.c(211): web_add_auto_header("DNT") started  	[MsgId: MMSG-26355]
Action.c(211): web_add_auto_header("DNT") was successful  	[MsgId: MMSG-26392]
Action.c(214): web_add_auto_header("Sec-GPC") started  	[MsgId: MMSG-26355]
Action.c(214): web_add_auto_header("Sec-GPC") was successful  	[MsgId: MMSG-26392]
Action.c(217): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(217): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(220): web_add_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(220): web_add_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(223): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(223): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(226): web_add_auto_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Action.c(226): web_add_auto_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Action.c(229): web_add_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Action.c(229): web_add_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(234): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(234): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(238): web_url("login.pl") started  	[MsgId: MMSG-26355]
Action.c(238): Registered web_reg_find successful for "Text=Please choose a username and password" (count=1)  	[MsgId: MMSG-26364]
Action.c(238): web_url("login.pl") was successful, 2429 body bytes, 228 header bytes, 12 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(247): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(247): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(250): web_add_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(250): web_add_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(253): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(253): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Action.c(255): web_url("profileValidate.js") started  	[MsgId: MMSG-26355]
Action.c(255): Registering web_url("profileValidate.js") was successful  	[MsgId: MMSG-26390]
Action.c(263): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(263): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(266): web_add_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(266): web_add_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(269): web_url("button_next.gif") started  	[MsgId: MMSG-26355]
Action.c(269): Registering web_url("button_next.gif") was successful  	[MsgId: MMSG-26390]
Action.c(277): web_concurrent_end started  	[MsgId: MMSG-26355]
Action.c(277): web_concurrent_end was successful, 12046 body bytes, 613 header bytes  	[MsgId: MMSG-26386]
Action.c(279): Notify: Transaction "signupnow_page" ended with a "Pass" status (Duration: 0,3302 Wasted Time: 0,0061).
Action.c(283): Notify: Transaction "data_input" started.
Action.c(285): web_websocket_send started  	[MsgId: MMSG-26355]
Action.c(285): Warning -35046: The WebSocket whose ID is "3" is not connected  	[MsgId: MWAR-35046]
Action.c(285): web_websocket_send highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(292): web_add_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(292): web_add_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(295): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(295): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(298): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(298): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(303): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(303): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(307): web_submit_data("login.pl_2") started  	[MsgId: MMSG-26355]
Action.c(307): Registered web_reg_find successful for "Text=jojo" (count=2)  	[MsgId: MMSG-26364]
